gvkey,datadate,tic,AP,AT,BV,COGS,EMP,IBE,OCF,PPE,REC,SALE,XOPR,MV,2_digit_sic
30145,20151231,PUMP,87.365,446.454,69.571,483.338,,-45.853,81.231,404.088,90.291,569.618,510.708,,13
30145,20161231,PUMP,129.094,541.422,220.997,404.14,0.642,-53.147,10.658,407.141,115.179,436.92,430.753,,13
30146,20121231,ITG,1586.975,2196.759,409.77,430.694,1.047,-247.859,26.792,188.179,1661.404,504.436,430.694,,62
30146,20121231,ITG,1586.975,2196.759,,,1.047,-247.859,,188.179,,504.436,,,62
30146,20131231,ITG,1509.754,2209.887,417.432,425.022,1.001,31.085,45.192,194.78,1609.4,530.801,425.022,,62
30146,20131231,ITG,1509.754,2209.887,,,1.001,31.085,,194.78,,530.801,,,62
30146,20141231,ITG,630.72,1350.849,415.596,442.321,1.087,50.892,142.54,202.836,754.37,559.814,442.321,,62
30146,20141231,ITG,630.72,1350.849,,,1.087,50.892,,202.836,,559.814,,,62
30146,20151231,ITG,988.333,1709.022,454.821,442.399,1.037,91.57,48.746,201.112,1086.081,527.104,442.399,563.2429,62
30146,20151231,ITG,988.333,1709.022,,,1.037,91.57,,201.112,,527.104,,563.2429,62
30146,20161231,ITG,126.934,775.285,405.164,418.566,0.956,-25.918,35.082,210.21,207.653,466.593,418.566,644.0372,62
30146,20161231,ITG,126.934,775.285,,,0.956,-25.918,,210.21,,466.593,,644.0372,62
30170,20130331,FLEX,3705.297,10591.555,2246.758,21775.125,149,302.502,1115.43,4751.751,2524.353,23569.475,22580.36,4319.0992,36
30170,20140331,FLEX,4747.779,12500.15,2163.05,24194.099,150,365.594,1216.46,5113.077,3168.893,26108.607,25068.895,5464.7855,36
30170,20150331,FLEX,4561.194,11665.624,2360.814,24117.851,150,600.801,794.034,5161.963,2938.187,26147.916,24962.324,7140.119,36
30170,20160331,FLEX,4248.292,12384.981,2570.872,22385.095,200,444.081,1136.445,5513.709,2545.854,24418.885,23339.985,6570.5774,36
30170,20170331,FLEX,4484.908,12593.363,2644.533,21763.309,200,319.564,1149.909,5727.006,2699.226,23862.934,22697.713,8925.756,36
30175,20121231,DVCR,4.46,114.963,17.178,266.521,5.9,-3.343,3.639,90.796,31.729,308.072,302.404,31.6609,80
30175,20131231,DVCR,7.545,137.744,8.129,249.884,5.4,-5.549,-1.226,103.689,37,281.919,277.374,28.188,80
30175,20141231,DVCR,8.121,129.089,11.754,301.756,6.1,1.475,2.981,98.869,42.693,344.192,330.547,58.1742,80
30175,20151231,DVCR,10.136,138.051,13.267,339.725,6.3,2.752,3.277,114.383,45.573,387.595,372.64,51.1902,80
30175,20161231,DVCR,12.972,163.051,11.42,376.15,7.4,-1.744,-5.618,128.822,63.776,426.063,414.877,66.1544,80
30209,20121231,STKR,2,7.001,0.67,9.319,,-2.903,-1.782,3.205,2.225,13.904,16.644,1.5212,36
30209,20131231,STKR,1.542,6.429,-0.434,9.416,,-1.153,-1.429,3.104,2.559,15.599,15.866,3.3466,36
30209,20141231,STKR,1.463,5.622,-0.535,9.848,,-1.34,0.03,2.767,2.606,16.431,16.077,2.4096,36
30209,20151231,STKR,1.26,5.473,0.192,8.34,,0.28,0.4,2.57,2.751,14.411,13.52,1.6817,36
30209,20161231,STKR,1.454,6.454,1.606,8.787,,1.255,2.242,2.752,2.302,16.245,14.678,5.1872,36
30218,20121231,BSAC,33032.843,51751.8,4463.529,2539.185,11.713,810.851,-2127.729,,38490.452,4731.445,3166.808,,60
30218,20121231,BSAC,,51751.8,,,11.713,810.851,,,,4425.515,,,60
30218,20131231,BSAC,32853.121,51440.048,4428.091,2205.733,11.516,841.427,1019.443,,38941.4,4263.214,2792.82,,60
30218,20131231,BSAC,,51440.048,,,11.516,841.427,,,,3987.656,,,60
30218,20141231,BSAC,30390.448,50411.925,4308.938,2120.454,11.478,908.596,480.951,,36638.755,4279.704,2679.958,,60
30218,20141231,BSAC,,50411.925,,,11.478,908.596,,,,3830.282,,,60
30218,20151231,BSAC,30087.77,48908.376,3914.592,1736.84,11.723,633.234,985.849,,34648.3,3499.133,2283.374,,60
30218,20151231,BSAC,,48908.376,,,11.723,633.234,,,,2647.138,,,60
30218,20161231,BSAC,34252.215,55396.917,4351.652,1791.85,11.354,712.196,1119.429,,39518.075,3801.732,2382.969,,60
30218,20161231,BSAC,,55396.917,,,11.354,712.196,,,,3042.674,,,60
30220,20121231,SYPR,36.267,160.968,62.933,285.693,1.277,10.267,-4.92,192.817,38.53,341.604,319.193,79.8138,37
30220,20131231,SYPR,36.684,146.283,56.252,268.29,1.181,-9.887,-0.293,192.392,38.533,310.714,301.801,62.424,37
30220,20141231,SYPR,39.027,129.681,46.888,305.537,1.332,-1.184,3.045,189.741,47.666,354.776,341.647,54.4901,37
30220,20151231,SYPR,11.311,68.112,19.712,138.06,0.735,-27.216,-13.447,143.218,12.394,145.323,166.684,22.6469,37
30220,20161231,SYPR,6.973,62.637,26.098,85.849,0.604,6.043,-19.304,87.416,8.01,91.797,108.187,18.7704,37
30222,20121231,ABCB,2624.663,3019.052,251.017,46.163,0.866,14.436,32.239,,1934.754,167.316,112.493,297.262,60
30222,20121231,ABCB,,3019.052,,,0.866,14.436,,,,167.316,,297.262,60
30222,20131231,ABCB,2999.231,3667.649,288.699,21.623,0.984,20.018,33.637,,2435.067,172.871,90.579,529.8188,60
30222,20131231,ABCB,,3667.649,,,0.984,20.018,,,,172.871,,529.8188,60
30222,20141231,ABCB,3431.149,4037.077,366.028,20.328,1.027,38.723,-5.596,,2814.242,227.402,111.727,686.4854,60
30222,20141231,ABCB,,4037.077,,,1.027,38.723,,,,227.402,,686.4854,60
30222,20151231,ABCB,4879.29,5588.94,514.759,20.12,1.304,40.847,-25.223,,3887.861,275.979,135.318,1094.8519,60
30222,20151231,ABCB,,5588.94,,,1.304,40.847,,,,275.979,,1094.8519,60
30222,20161231,ABCB,5575.163,6892.031,646.437,23.785,1.298,72.1,-69.767,,5240.406,344.866,155.019,1522.5556,60
30222,20161231,ABCB,,6892.031,,,1.298,72.1,,,,344.866,,1522.5556,60
30223,20141231,SACH,0,21.456,16.104,0.076,,1.47,1.465,0,15.1,1.559,0.076,,67
30223,20151231,SACH,0,30.795,24.23,0.217,,2.307,2.376,0,27.876,2.782,0.217,,67
30223,20161231,SACH,0,38.369,28.486,0.472,0,3.051,3.697,,34.495,4.045,0.472,,67
30232,20130630,CUBA,,,,,,,,,,,,,67
30232,20140630,CUBA,,,,,,,,,,,,,67
30232,20150630,CUBA,,,,,,,,,,,,,67
30232,20160630,CUBA,,,,,,,,,,,,,67
30232,20170630,CUBA,,,,,,,,,,,,,67
30236,20121231,APHB,,,,,,,,,,,,,28
30236,20131231,APHB,2.147,37.854,-15.489,12.674,0.012,-57.648,-6.333,0.618,0.008,0.325,12.674,91.268,28
30236,20141231,APHB,1.167,28.617,-8.615,12.497,0.023,23.109,-12.572,1.698,0.1,0.409,12.497,40.8276,28
30236,20151231,APHB,1.464,31.493,11.221,10.083,0.028,-0.516,-9.781,1.735,0.125,0.475,10.083,23.4183,28
30236,20161231,APHB,1.659,18.195,9.723,13.722,0.033,-18.838,-10.589,2.004,0.025,0.26,13.722,7.2547,28
30259,20121231,PENN,38.268,5644.057,1020.929,1686.516,20.003,211.971,507.189,4014.77,53.72,2899.465,2215.457,3803.4222,79
30259,20131231,PENN,22.58,2183.991,758.4,1733.393,17.397,-794.339,440.802,1411.099,52.538,2918.754,2227.268,1114.702,79
30259,20141231,PENN,43.136,2236.43,554.486,1890.148,16.65,-233.195,220.001,1743.95,41.618,2590.527,2336.553,1086.8943,79
30259,20151231,PENN,72.816,5138.752,-678.043,1621.576,18.204,0.686,398.982,4728.011,45.186,2838.358,2074.483,1295.8578,79
30259,20161231,PENN,35.091,4974.484,-543.32,1757.848,18.808,109.31,404.823,4790.942,61.855,3034.38,2218.657,1256.5724,79
30260,20121231,SSD,37.117,890.322,789.568,343.666,2.188,41.918,68.052,431.32,82.812,657.236,561.322,1587.7574,34
30260,20131231,SSD,34.933,953.613,841.279,364.581,2.295,50.971,106.506,445.068,90.017,706.329,595.603,1789.1918,34
30260,20141231,SSD,22.86,973.065,863.465,382.559,2.434,63.531,67.221,452.41,92.015,752.148,625.653,1694.2236,34
30260,20151231,SSD,21.309,961.309,849.824,408.657,2.498,67.888,114.207,470.831,106.011,794.059,653.289,1645.4836,34
30260,20161231,SSD,27.674,979.974,865.842,420.571,2.647,89.734,94.947,506.112,112.423,860.661,693.924,2075.3688,34
30262,20160331,IFMK,,,,,,,,,,,,,54
30262,20170331,IFMK,12.364,42,6.292,101.298,0.48,1.55,2.574,16.428,2.272,130.877,126.04,190.2495,54
30276,20121231,BFRE,1.08,1.316,-1.867,1.498,0.006,-1.757,-0.242,1.321,0.004,0.783,1.498,4.0606,28
30276,20131231,BFRE,1.109,0.164,-2.73,1.304,0.007,-1.371,-0.061,0.217,0,1.338,1.304,0.2067,28
30276,20141231,BFRE,0.962,0.139,-2.507,0.064,0.007,-0.396,-0.199,0.217,0,1.595,1.747,10.8892,28
30276,20151231,BFRE,0.9,0.146,-3.326,0,0.007,-1.283,-0.277,0.217,0,0.911,1.858,1.1093,28
30276,20161231,BFRE,1.163,0.163,-4.319,0,0.004,-1.195,-0.236,0.082,0,0,1.244,0.4898,28
30281,20121231,LJPC,0.092,3.43,-7.693,0,0.004,-7.737,-2.135,2.186,0,0,10.739,0.9274,28
30281,20131231,LJPC,0.834,8.747,-2.613,0,0.007,-17.935,-4.734,,0,0,17.934,34.1341,28
30281,20141231,LJPC,0.73,50.536,41.741,0,0.025,-21.313,-12.879,,0,0,21.323,280.9197,28
30281,20151231,LJPC,2.506,129.347,117.884,42.679,0.058,-41.912,-25.183,2.108,0,1.057,42.679,492.588,28
30281,20161231,LJPC,6.652,70.795,54.394,78.258,0.105,-78.185,-58.672,4.229,0,0.616,78.258,320.1329,28
30284,20151231,BDFC,28.602,296.971,,393.763,,-9.061,6.119,266.844,87.813,455.404,422.528,,13
30293,20121231,ESS,64.858,4847.223,1690.947,351.193,1.144,115.845,267.499,,66.163,599.003,374.5,5344.366,67
